Company Ticker,Sector,Industry,MarketCap,Currency,MarketCap_USD
CLMB,Technology,Electronics & Computer Distribution,539634816,USD,539634816.0
CLMT,Basic Materials,Specialty Chemicals,1742852352,USD,1742852352.0
CLNE,Energy,Oil & Gas Refining & Marketing,633745856,USD,633745856.0
CLNX.MC,Real Estate,Real Estate Services,18286673920,EUR,21014334317.248512
CLOV,Healthcare,Healthcare Plans,1886046208,USD,1886046208.0
CLPR,Real Estate,REIT - Residential,158815152,USD,158815152.0
CLPT,Healthcare,Medical Devices,540120896,USD,540120896.0
CLSK,Financial Services,Capital Markets,5190041088,USD,5190041088.0
CLVT,Technology,Information Technology Services,2341480192,USD,2341480192.0
CLW,Basic Materials,Paper & Paper Products,290454304,USD,290454304.0
CLW.AX,Real Estate,REIT - Diversified,3007156736,AUD,1955746964.5969818
CLX,Consumer Defensive,Household & Personal Products,13290368000,USD,13290368000.0
CMA,Financial Services,Banks - Regional,9728879616,USD,9728879616.0
CMC,Basic Materials,Steel,6481645568,USD,6481645568.0
CMCL,Basic Materials,Gold,545746240,USD,545746240.0
CMCO,Industrials,Farm & Heavy Construction Machinery,459939456,USD,459939456.0
CMCSA,Communication Services,Telecom Services,98312273920,USD,98312273920.0
CMDB,Industrials,Marine Shipping,311981440,USD,311981440.0
CME,Financial Services,Financial Data & Stock Exchanges,95256035328,USD,95256035328.0
CMG,Consumer Cyclical,Restaurants,41664978944,USD,41664978944.0
CMI,Industrials,Specialty Industrial Machinery,60310323200,USD,60310323200.0
CMIG4.SA,Utilities,Utilities - Diversified,35691483136,BRL,6630530314.70637
CMP,Basic Materials,Other Industrial Metals & Mining,719129344,USD,719129344.0
CMPO,Industrials,Metal Fabrication,2102857344,USD,2102857344.0
CMPR,Industrials,Specialty Business Services,1680642048,USD,1680642048.0
CMPX,Healthcare,Biotechnology,641681152,USD,641681152.0
CMRC,Technology,Software - Application,373803424,USD,373803424.0
CMRE,Industrials,Marine Shipping,1494947840,USD,1494947840.0
CMS,Utilities,Utilities - Regulated Electric,22060140544,USD,22060140544.0
CMT,Basic Materials,Specialty Chemicals,157015216,USD,157015216.0
CMTG,Real Estate,REIT - Mortgage,433448192,USD,433448192.0
CMW.AX,Real Estate,REIT - Office,1231009664,AUD,800604566.0792422
CNA,Financial Services,Insurance - Property & Casualty,11922863104,USD,11922863104.0
CNA.L,Utilities,Utilities - Independent Power Producers,8263067136,GBp,10785181633.946726
CNC,Healthcare,Healthcare Plans,16957371392,USD,16957371392.0
CNDT,Technology,Information Technology Services,372818656,USD,372818656.0
CNH,Industrials,Farm & Heavy Construction Machinery,13021036544,USD,13021036544.0
CNI.AX,Real Estate,REIT - Diversified,1959016832,AUD,1274074336.3695412
CNK,Communication Services,Entertainment,3075665920,USD,3075665920.0
CNM,Industrials,Industrial Distribution,10279921664,USD,10279921664.0
CNMD,Healthcare,Medical Devices,1388639744,USD,1388639744.0
CNNE,Consumer Cyclical,Restaurants,908676032,USD,908676032.0
CNO,Financial Services,Insurance - Life,3837535488,USD,3837535488.0
CNOB,Financial Services,Banks - Regional,1217111424,USD,1217111424.0
CNP,Utilities,Utilities - Regulated Electric,25083197440,USD,25083197440.0
CNR,Energy,Thermal Coal,4203164416,USD,4203164416.0
CNS,Financial Services,Asset Management,3457291008,USD,3457291008.0
CNU.AX,Communication Services,Telecom Services,3570892288,AUD,2322380363.335598
CNU.NZ,Communication Services,Telecom Services,4108912896,NZD,2328787606.6101503
CNX,Energy,Oil & Gas E&P,4653074944,USD,4653074944.0
CNXC,Technology,Information Technology Services,2465394432,USD,2465394432.0
CNXN,Technology,Electronics & Computer Distribution,1506635008,USD,1506635008.0
COALINDIA.NS,Energy,Thermal Coal,2327336976384,INR,26245988844.97018
COCO,Consumer Defensive,Beverages - Non-Alcoholic,2324627712,USD,2324627712.0
CODI,Industrials,Conglomerates,464958272,USD,464958272.0
COF,Financial Services,Credit Services,140934676480,USD,140934676480.0
COFS,Financial Services,Banks - Regional,433864288,USD,433864288.0
COGN3.SA,Consumer Defensive,Education & Training Services,6748716032,BRL,1253732327.8221107
COGT,Healthcare,Biotechnology,2165362432,USD,2165362432.0
COH.AX,Healthcare,Medical Devices,18356039680,AUD,11938110327.409868
COHR,Technology,Scientific & Technical Instruments,20715460608,USD,20715460608.0
COHU,Technology,Semiconductor Equipment & Materials,1130428160,USD,1130428160.0
COIN,Financial Services,Financial Data & Stock Exchanges,89095708672,USD,89095708672.0
COKE,Consumer Defensive,Beverages - Non-Alcoholic,11191313408,USD,11191313408.0
COL.AX,Consumer Defensive,Grocery Stores,29258618880,AUD,19028757090.65134
COL.MC,Real Estate,REIT - Office,3362853120,EUR,3864459990.517632
COLB,Financial Services,Banks - Regional,8053037568,USD,8053037568.0
COLD,Real Estate,REIT - Industrial,3680240128,USD,3680240128.0
COLL,Healthcare,Drug Manufacturers - Specialty & Generic,1137226752,USD,1137226752.0
COLM,Consumer Cyclical,Apparel Manufacturing,2759315968,USD,2759315968.0
COM7.BK,Consumer Cyclical,Specialty Retail,57226457088,THB,1757569280.1089125
COMM,Technology,Communication Equipment,3573580288,USD,3573580288.0
COMP,Real Estate,Real Estate Services,4337672192,USD,4337672192.0
CON,Healthcare,Medical Care Facilities,2522404352,USD,2522404352.0
COO,Healthcare,Medical Instruments & Supplies,13880839168,USD,13880839168.0
COOK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",123656480,USD,123656480.0
COOP,Financial Services,Mortgage Finance,13489140736,USD,13489140736.0
COP,Energy,Oil & Gas E&P,110618820608,USD,110618820608.0
COR,Healthcare,Medical Distribution,66098786304,USD,66098786304.0
COR.LS,Basic Materials,Lumber & Wood Production,907060032,EUR,1042358104.1391551
CORT,Healthcare,Biotechnology,7815420928,USD,7815420928.0
CORZ,Technology,Software - Infrastructure,7100403712,USD,7100403712.0
COSO,Financial Services,Banks - Regional,257906176,USD,257906176.0
COST,Consumer Defensive,Discount Stores,411287977984,USD,411287977984.0
COTY,Consumer Defensive,Household & Personal Products,3408044288,USD,3408044288.0
COUR,Consumer Defensive,Education & Training Services,1374464000,USD,1374464000.0
CPALL.BK,Consumer Defensive,Grocery Stores,407884267520,THB,12527157802.736025
CPAY,Technology,Software - Infrastructure,18597003264,USD,18597003264.0
CPB,Consumer Defensive,Packaged Foods,8904297472,USD,8904297472.0
CPF,Financial Services,Banks - Regional,777668800,USD,777668800.0
CPF.BK,Consumer Defensive,Farm Products,163920396288,THB,5034410088.607088
CPFE3.SA,Utilities,Utilities - Regulated Electric,49201266688,BRL,9140289549.0125
CPG.L,Consumer Cyclical,Restaurants,42801799168,GBp,55866081043.370804
CPK,Utilities,Utilities - Regulated Gas,3049951744,USD,3049951744.0
CPLE6.SA,Utilities,Utilities - Regulated Electric,40997076992,BRL,7616168842.690232
CPN.BK,Real Estate,Real Estate - Diversified,232253997056,THB,7133107852.2023115
CPNG,Consumer Cyclical,Internet Retail,58301624320,USD,58301624320.0
CPR.MI,Consumer Defensive,Beverages - Wineries & Distilleries,7345684480,EUR,8441374857.289727
CPRI,Consumer Cyclical,Luxury Goods,2466675712,USD,2466675712.0
CPRT,Industrials,Specialty Business Services,41616879616,USD,41616879616.0
CPRX,Healthcare,Biotechnology,2624063232,USD,2624063232.0
CPS,Consumer Cyclical,Auto Parts,523995488,USD,523995488.0
CPSS,Financial Services,Credit Services,186500336,USD,186500336.0
CPT,Real Estate,REIT - Residential,10684204032,USD,10684204032.0
CPU.AX,Financial Services,Capital Markets,21030154240,AUD,13677258596.968039
CQR.AX,Real Estate,REIT - Retail,2394665984,AUD,1557404931.1647334
CR,Industrials,Specialty Industrial Machinery,11095464960,USD,11095464960.0
CRAI,Industrials,Consulting Services,1256148224,USD,1256148224.0
CRBN.AS,Basic Materials,Specialty Chemicals,1024885440,EUR,1177758479.604384
CRC,Energy,Oil & Gas E&P,3946830592,USD,3946830592.0
CRC.BK,Consumer Cyclical,Department Stores,121826205696,THB,3741590997.2245708
CRCT,Technology,Computer Hardware,1136695168,USD,1136695168.0
CRDA.L,Basic Materials,Specialty Chemicals,3985716736,GBp,5202266692.465766
CRDF,Healthcare,Biotechnology,153674720,USD,153674720.0
CRDO,Technology,Semiconductors,31249924096,USD,31249924096.0
CRGY,Energy,Oil & Gas E&P,2174548992,USD,2174548992.0
CRH,Basic Materials,Building Materials,79340535808,USD,79340535808.0
CRI,Consumer Cyclical,Apparel Retail,1106921728,USD,1106921728.0
CRK,Energy,Oil & Gas E&P,5635674624,USD,5635674624.0
CRL,Healthcare,Diagnostics & Research,8802447360,USD,8802447360.0
CRM,Technology,Software - Application,248795676672,USD,248795676672.0
CRMD,Healthcare,Biotechnology,904148096,USD,904148096.0
CRML,Basic Materials,Other Industrial Metals & Mining,1287097600,USD,1287097600.0
CRMT,Consumer Cyclical,Auto & Truck Dealerships,181623584,USD,181623584.0
CRN.AX,Basic Materials,Coking Coal,524220544,AUD,340934253.75330305
CRNC,Technology,Software - Application,478682176,USD,478682176.0
CRNX,Healthcare,Biotechnology,4035441152,USD,4035441152.0
CROX,Consumer Cyclical,Footwear & Accessories,4213474816,USD,4213474816.0
CRS,Industrials,Metal Fabrication,15480203264,USD,15480203264.0
CRSP,Healthcare,Biotechnology,5636197888,USD,5636197888.0
CRSR,Technology,Computer Hardware,859959808,USD,859959808.0
CRUS,Technology,Semiconductors,6736835072,USD,6736835072.0
CRVL,Financial Services,Insurance Brokers,3751988224,USD,3751988224.0
CRVS,Healthcare,Biotechnology,572267840,USD,572267840.0
CRWD,Technology,Software - Infrastructure,138507157504,USD,138507157504.0
CSAN3.SA,Energy,Oil & Gas Refining & Marketing,11322661888,BRL,2103450075.3438926
CSCO,Technology,Communication Equipment,293386977280,USD,293386977280.0
CSGP,Real Estate,Real Estate Services,29404823552,USD,29404823552.0
CSGS,Technology,Software - Infrastructure,2147926528,USD,2147926528.0
CSL,Industrials,Building Products & Equipment,13604195328,USD,13604195328.0
CSL.AX,Healthcare,Biotechnology,85866946560,AUD,55844784571.259285
CSNA3.SA,Basic Materials,Steel,12659963904,BRL,2351885297.921188
CSPI,Technology,Information Technology Services,125929152,USD,125929152.0
CSR,Real Estate,REIT - Residential,1045756608,USD,1045756608.0
CSTL,Healthcare,Diagnostics & Research,753925184,USD,753925184.0
CSTM,Basic Materials,Aluminum,2235144704,USD,2235144704.0
CSV,Consumer Cyclical,Personal Services,692146304,USD,692146304.0
CSW,Industrials,Specialty Industrial Machinery,4157493248,USD,4157493248.0
CSX,Industrials,Railroads,66720370688,USD,66720370688.0
CTAS,Industrials,Specialty Business Services,73155805184,USD,73155805184.0
CTBI,Financial Services,Banks - Regional,935924800,USD,935924800.0
CTD.AX,Consumer Cyclical,Travel Services,2351454720,AUD,1529301873.7508352
CTEC.L,Healthcare,Medical Instruments & Supplies,4883003392,GBp,6373429821.531341
CTEV,Healthcare,Health Information Services,1072511744,USD,1072511744.0
CTGO,Basic Materials,Gold,316903840,USD,316903840.0
CTKB,Healthcare,Medical Devices,501261696,USD,501261696.0
CTLP,Technology,Software - Infrastructure,775017024,USD,775017024.0
CTO,Real Estate,REIT - Diversified,547091712,USD,547091712.0
CTOS,Industrials,Rental & Leasing Services,1316311168,USD,1316311168.0
CTRA,Energy,Oil & Gas E&P,18612983808,USD,18612983808.0
CTRE,Real Estate,REIT - Healthcare Facilities,7865173504,USD,7865173504.0
CTRI,Utilities,Utilities - Regulated Gas,1789826432,USD,1789826432.0
CTRN,Consumer Cyclical,Apparel Retail,303996352,USD,303996352.0
CTS,Technology,Electronic Components,1209742976,USD,1209742976.0
CTSH,Technology,Information Technology Services,35102879744,USD,35102879744.0
CTT.LS,Industrials,Integrated Freight & Logistics,994295936,EUR,1142606211.5392895
CTVA,Basic Materials,Agricultural Inputs,42144948224,USD,42144948224.0
CUBE,Real Estate,REIT - Industrial,8481533440,USD,8481533440.0
CUBI,Financial Services,Banks - Regional,2323118336,USD,2323118336.0
CURB,Real Estate,REIT - Retail,2459291904,USD,2459291904.0
CURI,Communication Services,Broadcasting,243304864,USD,243304864.0
CURV,Consumer Cyclical,Apparel Retail,120982464,USD,120982464.0
CUV.AX,Healthcare,Biotechnology,562248256,AUD,365666114.72490495
CUZ,Real Estate,REIT - Office,4325755392,USD,4325755392.0
CVBF,Financial Services,Banks - Regional,2538427904,USD,2538427904.0
CVCB3.SA,Consumer Cyclical,Travel Services,969496896,BRL,180106792.82918015
CVCO,Consumer Cyclical,Residential Construction,4178972672,USD,4178972672.0
CVGW,Consumer Defensive,Food Distribution,396165280,USD,396165280.0
CVI,Energy,Oil & Gas Refining & Marketing,3700531456,USD,3700531456.0
CVLG,Industrials,Trucking,505646496,USD,505646496.0
CVLT,Technology,Software - Application,6189524992,USD,6189524992.0
CVNA,Consumer Cyclical,Auto & Truck Dealerships,38864994304,USD,38864994304.0
CVRX,Healthcare,Medical Devices,270931840,USD,270931840.0
CVS,Healthcare,Healthcare Plans,99574284288,USD,99574284288.0
CVX,Energy,Oil & Gas Integrated,307925942272,USD,307925942272.0
CW,Industrials,Aerospace & Defense,22673932288,USD,22673932288.0
CWAN,Technology,Software - Application,5910524928,USD,5910524928.0
CWBC,Financial Services,Banks - Regional,405548544,USD,405548544.0
CWCO,Utilities,Utilities - Regulated Water,549315392,USD,549315392.0
CWEN,Utilities,Utilities - Renewable,6428153856,USD,6428153856.0
CWH,Consumer Cyclical,Auto & Truck Dealerships,810372224,USD,810372224.0
CWK,Real Estate,Real Estate Services,3608398848,USD,3608398848.0
CWST,Industrials,Waste Management,5633126912,USD,5633126912.0
CWT,Utilities,Utilities - Regulated Water,2679822592,USD,2679822592.0
CWY.AX,Industrials,Waste Management,5710701568,AUD,3714035628.283003
CXDO,Communication Services,Telecom Services,214299616,USD,214299616.0
CXM,Technology,Software - Application,1884584448,USD,1884584448.0
CXO.AX,Basic Materials,Other Industrial Metals & Mining,359169664,AUD,233591076.8248422
CXT,Industrials,Specialty Industrial Machinery,3682803712,USD,3682803712.0
CXW,Industrials,Security & Protection Services,2018080128,USD,2018080128.0
CYH,Healthcare,Medical Care Facilities,533300512,USD,533300512.0
CYRE3.SA,Consumer Cyclical,Residential Construction,11212778496,BRL,2083036657.4155161
CYRX,Industrials,Integrated Freight & Logistics,452605376,USD,452605376.0
CYTK,Healthcare,Biotechnology,7183018496,USD,7183018496.0
CZFS,Financial Services,Banks - Regional,260796784,USD,260796784.0
CZNC,Financial Services,Banks - Regional,339357568,USD,339357568.0
CZR,Consumer Cyclical,Resorts & Casinos,4174007552,USD,4174007552.0
CZWI,Financial Services,Banks - Regional,158595024,USD,158595024.0
D,Utilities,Utilities - Regulated Electric,49945391104,USD,49945391104.0
D01.SI,Consumer Defensive,Grocery Stores,4683631616,USD,4683631616.0
D05.SI,Financial Services,Banks - Regional,151826923520,SGD,116192886464.08601
DAKT,Technology,Electronic Components,937118912,USD,937118912.0
DAL,Industrials,Airlines,38198321152,USD,38198321152.0
DAN,Consumer Cyclical,Auto Parts,2406849792,USD,2406849792.0
DANSKE.CO,Financial Services,Banks - Regional,237920010240,DKK,36618796958.46113
DAR,Consumer Defensive,Packaged Foods,5186915840,USD,5186915840.0
DASH,Consumer Cyclical,Internet Retail,103402504192,USD,103402504192.0
DAVE,Technology,Software - Application,3241178880,USD,3241178880.0
DAWN,Healthcare,Biotechnology,748777472,USD,748777472.0
DAY,Technology,Software - Application,10992801792,USD,10992801792.0
DBD,Technology,Software - Application,2155884032,USD,2155884032.0
DBI,Consumer Cyclical,Footwear & Accessories,184797184,USD,184797184.0
DBRG,Financial Services,Asset Management,2431130368,USD,2431130368.0
DBX,Technology,Software - Infrastructure,8014874624,USD,8014874624.0
DC,Basic Materials,Gold,456116096,USD,456116096.0
DCC.L,Energy,Oil & Gas Refining & Marketing,4830959616,GBp,6305500859.096678
DCGO,Healthcare,Medical Care Facilities,100742376,USD,100742376.0
DCI,Industrials,Specialty Industrial Machinery,9785443328,USD,9785443328.0
DCO,Industrials,Aerospace & Defense,1393728384,USD,1393728384.0
DCOM,Financial Services,Banks - Regional,1160480640,USD,1160480640.0
DCTH,Healthcare,Medical Devices,333021536,USD,333021536.0
DD,Basic Materials,Specialty Chemicals,14525281280,USD,14525281280.0
DDD,Technology,Computer Hardware,353977056,USD,353977056.0
DDOG,Technology,Software - Application,56524611584,USD,56524611584.0
DDS,Consumer Cyclical,Department Stores,9401348096,USD,9401348096.0
DE,Industrials,Farm & Heavy Construction Machinery,124875964416,USD,124875964416.0
DEA,Real Estate,REIT - Office,1105616896,USD,1105616896.0
DEC,Energy,Oil & Gas Integrated,963318592,USD,963318592.0
DECK,Consumer Cyclical,Footwear & Accessories,11822821376,USD,11822821376.0
DEI,Real Estate,REIT - Office,2630184704,USD,2630184704.0
DELL,Technology,Computer Hardware,107305754624,USD,107305754624.0
DELTA.BK,Industrials,Electrical Equipment & Parts,2769187241984,THB,85048746245.05086
DEMANT.CO,Healthcare,Medical Devices,45627666432,DKK,7022655433.968598
DENN,Consumer Cyclical,Restaurants,211660864,USD,211660864.0
DERM,Healthcare,Drug Manufacturers - Specialty & Generic,224159888,USD,224159888.0
DFH,Consumer Cyclical,Residential Construction,1779035520,USD,1779035520.0
DFIN,Technology,Software - Application,1231320704,USD,1231320704.0
DG,Consumer Defensive,Discount Stores,21827915776,USD,21827915776.0
DGE.L,Consumer Defensive,Beverages - Wineries & Distilleries,39554330624,GBp,51627396119.1039
DGICA,Financial Services,Insurance - Property & Casualty,657734656,USD,657734656.0
DGII,Technology,Communication Equipment,1341966976,USD,1341966976.0
DGX,Healthcare,Diagnostics & Research,19894583296,USD,19894583296.0
DH,Healthcare,Health Information Services,297686528,USD,297686528.0
DHC,Real Estate,REIT - Healthcare Facilities,1067051456,USD,1067051456.0
DHER.DE,Consumer Cyclical,Internet Retail,6306179584,EUR,7246816267.546982
DHI,Consumer Cyclical,Residential Construction,42716565504,USD,42716565504.0
DHIL,Financial Services,Asset Management,348902016,USD,348902016.0
DHR,Healthcare,Diagnostics & Research,151201185792,USD,151201185792.0
DHT,Energy,Oil & Gas Midstream,2096824320,USD,2096824320.0
DIA.MI,Healthcare,Diagnostics & Research,4095143168,EUR,4705979227.596365
DIM.PA,Healthcare,Medical Instruments & Supplies,19884644352,EUR,22850659776.653107
DIN,Consumer Cyclical,Restaurants,371718240,USD,371718240.0
DINO,Energy,Oil & Gas Refining & Marketing,9820996608,USD,9820996608.0
DIOD,Technology,Semiconductors,2473540096,USD,2473540096.0
DIS,Communication Services,Entertainment,201584345088,USD,201584345088.0
DJCO,Technology,Software - Application,562361728,USD,562361728.0
DJT,Communication Services,Internet Content & Information,4063645440,USD,4063645440.0
DK,Energy,Oil & Gas Refining & Marketing,2339327232,USD,2339327232.0
DKNG,Consumer Cyclical,Gambling,15177090048,USD,15177090048.0
DKS,Consumer Cyclical,Specialty Retail,19531503616,USD,19531503616.0
DLB,Industrials,Specialty Business Services,6361178624,USD,6361178624.0
DLR,Real Estate,REIT - Specialty,60135194624,USD,60135194624.0
DLTR,Consumer Defensive,Discount Stores,20570157056,USD,20570157056.0
DLX,Industrials,Conglomerates,811974080,USD,811974080.0
DMAC,Healthcare,Biotechnology,351484608,USD,351484608.0
DMP.AX,Consumer Cyclical,Restaurants,1809738752,AUD,1176989223.2639282
DMRC,Technology,Software - Application,216163344,USD,216163344.0
DNA,Healthcare,Biotechnology,757164800,USD,757164800.0
DNLI,Healthcare,Biotechnology,2245820416,USD,2245820416.0
DNOW,Industrials,Industrial Distribution,1543675904,USD,1543675904.0
DNTH,Healthcare,Biotechnology,1354946048,USD,1354946048.0
DNUT,Consumer Defensive,Grocery Stores,630016000,USD,630016000.0
DOC,Real Estate,REIT - Healthcare Facilities,12293662720,USD,12293662720.0
DOCN,Technology,Software - Infrastructure,3771683584,USD,3771683584.0
DOCS,Healthcare,Health Information Services,12539698176,USD,12539698176.0
DOCU,Technology,Software - Application,14688644096,USD,14688644096.0
DOLE,Consumer Defensive,Farm Products,1210468992,USD,1210468992.0
DOMO,Technology,Software - Application,574350976,USD,574350976.0
DORM,Consumer Cyclical,Auto Parts,4082557952,USD,4082557952.0
DOUG,Real Estate,Real Estate Services,218221936,USD,218221936.0
DOV,Industrials,Specialty Industrial Machinery,24435218432,USD,24435218432.0
DOW,Basic Materials,Chemicals,16511125504,USD,16511125504.0
DOW.AX,Industrials,Engineering & Construction,5123272192,AUD,3331992615.6014385
DOX,Technology,Software - Infrastructure,9253626880,USD,9253626880.0
DPLM.L,Industrials,Industrial Distribution,7391597056,GBp,9647715007.250534
DPZ,Consumer Cyclical,Restaurants,13637130240,USD,13637130240.0
DRH,Real Estate,REIT - Hotel & Motel,1644593280,USD,1644593280.0
DRI,Consumer Cyclical,Restaurants,20653834240,USD,20653834240.0
DRR.AX,Basic Materials,Other Industrial Metals & Mining,2100076160,AUD,1365814267.7344255
DRREDDY.NS,Healthcare,Drug Manufacturers - Specialty & Generic,1000480178176,INR,11282677095.097433
DRS,Industrials,Aerospace & Defense,9741897728,USD,9741897728.0
DRUG,Healthcare,Biotechnology,391817664,USD,391817664.0
DRVN,Consumer Cyclical,Auto & Truck Dealerships,2340989440,USD,2340989440.0
DSFIR.AS,Basic Materials,Specialty Chemicals,18052939776,EUR,20745736131.221912
DSGN,Healthcare,Biotechnology,373010240,USD,373010240.0
DSGR,Industrials,Industrial Distribution,1248612480,USD,1248612480.0
DSP,Technology,Software - Application,555228992,USD,555228992.0
DSV.CO,Industrials,Integrated Freight & Logistics,324300570624,DKK,49913820772.00662
DT,Technology,Software - Application,15220034560,USD,15220034560.0
DTE,Utilities,Utilities - Regulated Electric,27802523648,USD,27802523648.0
DTM,Energy,Oil & Gas Midstream,11415948288,USD,11415948288.0
DUK,Utilities,Utilities - Regulated Electric,96168812544,USD,96168812544.0
DUOL,Technology,Software - Application,12139597824,USD,12139597824.0
DV,Technology,Software - Application,1835910528,USD,1835910528.0
DVA,Healthcare,Medical Care Facilities,8404930048,USD,8404930048.0
DVAX,Healthcare,Drug Manufacturers - Specialty & Generic,1194955520,USD,1194955520.0
DVN,Energy,Oil & Gas E&P,20834136064,USD,20834136064.0
DX,Real Estate,REIT - Mortgage,1949792768,USD,1949792768.0
DXC,Technology,Information Technology Services,2310757632,USD,2310757632.0
DXCM,Healthcare,Medical Devices,23568683008,USD,23568683008.0
DXCO3.SA,Basic Materials,Lumber & Wood Production,4254625536,BRL,790396506.8270745
DXPE,Industrials,Industrial Distribution,1895688448,USD,1895688448.0
DXS.AX,Real Estate,REIT - Office,7775814656,AUD,5057111167.065128
DY,Industrials,Engineering & Construction,8286373888,USD,8286373888.0
DYN,Healthcare,Biotechnology,3429978880,USD,3429978880.0
EA,Communication Services,Electronic Gaming & Multimedia,49853476864,USD,49853476864.0
EAT,Consumer Cyclical,Restaurants,4667499520,USD,4667499520.0
EB,Communication Services,Internet Content & Information,230635200,USD,230635200.0
EBAY,Consumer Cyclical,Internet Retail,37412036608,USD,37412036608.0
EBC,Financial Services,Banks - Regional,3433417216,USD,3433417216.0
EBF,Industrials,Business Equipment & Supplies,435449472,USD,435449472.0
EBMT,Financial Services,Banks - Regional,130256656,USD,130256656.0
EBO.NZ,Healthcare,Medical Distribution,5920789504,NZD,3355695671.1556096
EBS,Healthcare,Drug Manufacturers - Specialty & Generic,550934400,USD,550934400.0
ECBK,Financial Services,Banks - Regional,143507952,USD,143507952.0
ECG,Industrials,Engineering & Construction,4602323456,USD,4602323456.0
ECL,Basic Materials,Specialty Chemicals,72919023616,USD,72919023616.0
ECMPA.AS,Real Estate,REIT - Retail,1401302528,EUR,1610322354.5092607
ECOR3.SA,Industrials,Infrastructure Operations,5544101376,BRL,1029946895.210281
ECPG,Financial Services,Credit Services,995259136,USD,995259136.0
ECVT,Basic Materials,Specialty Chemicals,946236672,USD,946236672.0
ED,Utilities,Utilities - Regulated Electric,34853380096,USD,34853380096.0
EDIT,Healthcare,Biotechnology,275155680,USD,275155680.0
EDP.LS,Utilities,Utilities - Diversified,18004746240,EUR,20690353994.37926
EDPR.LS,Utilities,Utilities - Renewable,13600367616,EUR,15629013410.006937
EDV.AX,Consumer Defensive,Beverages - Wineries & Distilleries,6535944192,AUD,4250743854.2369585
EDV.L,Basic Materials,Gold,7294521856,GBp,9521009796.350054
EE,Energy,Oil & Gas Midstream,2914413824,USD,2914413824.0
EEFT,Technology,Software - Infrastructure,3127072000,USD,3127072000.0
EEX,Communication Services,Advertising Agencies,838703168,USD,838703168.0
EFC,Real Estate,REIT - Mortgage,1346569728,USD,1346569728.0
EFSC,Financial Services,Banks - Regional,1939001472,USD,1939001472.0
EFSI,Financial Services,Banks - Regional,191989312,USD,191989312.0
EFX,Industrials,Consulting Services,25683165184,USD,25683165184.0
EG,Financial Services,Insurance - Reinsurance,13158022144,USD,13158022144.0
EGAN,Technology,Software - Application,417718944,USD,417718944.0
EGBN,Financial Services,Banks - Regional,510461792,USD,510461792.0
EGCO.BK,Utilities,Utilities - Independent Power Producers,63439032320,THB,1948373183.2989695
EGHT,Technology,Software - Application,253646064,USD,253646064.0
EGIE3.SA,Utilities,Utilities - Renewable,32881887232,BRL,6108581962.418463
EGL.LS,Industrials,Engineering & Construction,1786013696,EUR,2052417463.5104256
EGO,Basic Materials,Gold,5196501504,USD,5196501504.0
EGP,Real Estate,REIT - Industrial,9385626624,USD,9385626624.0
EGY,Energy,Oil & Gas E&P,405564640,USD,405564640.0
EHAB,Healthcare,Medical Care Facilities,421237120,USD,421237120.0
EHC,Healthcare,Medical Care Facilities,11678496768,USD,11678496768.0
EHTH,Financial Services,Insurance Brokers,158286192,USD,158286192.0
EICHERMOT.NS,Consumer Cyclical,Auto Manufacturers,1900746375168,INR,21435214868.319828
EIG,Financial Services,Insurance - Specialty,810819840,USD,810819840.0
EIX,Utilities,Utilities - Regulated Electric,20928569344,USD,20928569344.0
EL,Consumer Defensive,Household & Personal Products,33603594240,USD,33603594240.0
ELA,Consumer Cyclical,Luxury Goods,244333248,USD,244333248.0
ELAN,Healthcare,Drug Manufacturers - Specialty & Generic,11352193024,USD,11352193024.0
ELD.AX,Consumer Defensive,Farm Products,1324477312,AUD,861392574.4579378
ELDN,Healthcare,Biotechnology,261084544,USD,261084544.0
ELE.MC,Utilities,Utilities - Regulated Electric,32808472576,EUR,37702220434.75599
ELET3.SA,Utilities,Utilities - Renewable,127311757312,BRL,23651145654.53054
ELET6.SA,Utilities,Utilities - Renewable,127311749120,BRL,23651144132.674355
ELF,Consumer Defensive,Household & Personal Products,6861519360,USD,6861519360.0
ELMD,Healthcare,Medical Devices,201446336,USD,201446336.0
ELME,Real Estate,REIT - Residential,1445842944,USD,1445842944.0
ELS,Real Estate,REIT - Residential,12096984064,USD,12096984064.0
ELV,Healthcare,Healthcare Plans,69602959360,USD,69602959360.0
ELVN,Healthcare,Biotechnology,1184710912,USD,1184710912.0
EMBC,Healthcare,Medical Instruments & Supplies,784870336,USD,784870336.0
EMBR3.SA,Industrials,Aerospace & Defense,63812919296,BRL,11854746810.318684
EME,Industrials,Engineering & Construction,30150705152,USD,30150705152.0
EML,Industrials,Tools & Accessories,129707928,USD,129707928.0
EML.AX,Technology,Software - Infrastructure,376113664,AUD,244610847.15188223
EMN,Basic Materials,Specialty Chemicals,6647648256,USD,6647648256.0
EMR,Industrials,Specialty Industrial Machinery,78808883200,USD,78808883200.0
ENEL.MI,Utilities,Utilities - Diversified,89375834112,EUR,102707231841.56343
ENEV3.SA,Utilities,Utilities - Diversified,35997515776,BRL,6687383057.112105
ENG.MC,Utilities,Utilities - Regulated Gas,3608113408,EUR,4146303572.8620286
ENGI11.SA,Utilities,Utilities - Regulated Electric,23921637376,BRL,4444005344.204841
ENI.MI,Energy,Oil & Gas Integrated,47019765760,EUR,54033285742.50394
